permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,housingunits,estprojectcost,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,contractorname
BP2011-04154,Completed,2011-04-21T00:00:00.000,2011-05-11T00:00:00.000,2012-02-24T00:00:00.000,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,Addition,Improvement,Existing,Elevator Addition,CALGARY BOARD OF EDUCATION,0,350000,2500 LAKE BONAVISTA DR SE,LKB,LAKE BONAVISTA,50.940904538108775,-114.06087029554078,2,Titled Parcel;Building,2500 LAKE BONAVISTA DR SE;2500 LAKE BONAVISTA DR SE,"MULTIPOINT (-114.06087029554078 50.940904538108775,-114.06143477455687 50.94073672483457)","{""type"":""MultiPoint"",""coordinates"":[[-114.0608703,50.9409045],[-114.0614348,50.9407367]]}","{'type': 'Point', 'coordinates': [-114.06087029554078, 50.940904538108775]}",
BP2015-00837,File Closed,2015-01-27T00:00:00.000,2015-02-03T00:00:00.000,2015-09-25T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alterartion - Installation of Intermediate Handrails,LEMAY ARCHITECTURE & DESIGN,0,250000,141 50 AV SE,MNI,MANCHESTER INDUSTRIAL,51.00858861281225,-114.0627548105215,2,Titled Parcel;Building,141 50 AV SE;141 50 AV SE,"MULTIPOINT (-114.0627548105215 51.00858861281225,-114.06270319937792 51.00759565519244)","{""type"":""MultiPoint"",""coordinates"":[[-114.0627548,51.0085886],[-114.0627032,51.0075957]]}","{'type': 'Point', 'coordinates': [-114.0627548105215, 51.00858861281225]}",
BP2014-07802,Completed,2014-05-29T00:00:00.000,2014-06-10T00:00:00.000,2014-09-24T00:00:00.000,Commercial / Multi Family Project,Building,2303 - Bridge (+15),Industrial,Non-Residential,Alteration,Improvement,Existing,Repairs to Exterior Ramp and Stairs,PCL CONSTRUCTION MANAGEMENT,0,181023,602 1 ST SE,DNC,DOWNTOWN COMMERCIAL CORE,51.04714069552404,-114.06019232395082,2,Titled Parcel;Building,602 1 ST SE;602 1 ST SE,"MULTIPOINT (-114.06019232395082 51.04714069552404,-114.05999238079825 51.04700916169812)","{""type"":""MultiPoint"",""coordinates"":[[-114.0601923,51.0471407],[-114.0599924,51.0470092]]}","{'type': 'Point', 'coordinates': [-114.06019232395082, 51.04714069552404]}",
BP2022-07821,Completed,2022-05-11T00:00:00.000,2022-11-02T00:00:00.000,2023-08-28T00:00:00.000,Commercial / Multi Family Project,Building,3510 - Recreation Facility,Commercial,Non-Residential,Alteration,Improvement,Existing,A2 - Barrier-free ramp - CALGRY CURLING CLUB,LAKER HOLDINGS,0,98569,720U 3 ST NW,SSD,SUNNYSIDE,51.05864707653034,-114.06992306712787,3,Titled Parcel;Building;Entryway,720 3 ST NW;720 3 ST NW;720U 3 ST NW,"MULTIPOINT (-114.06992306712787 51.05864707653034,-114.0693675861597 51.05828052830766,-114.0693675861597 51.05828052830766)","{""type"":""MultiPoint"",""coordinates"":[[-114.0699231,51.0586471],[-114.0693676,51.0582805],[-114.0693676,51.0582805]]}","{'type': 'Point', 'coordinates': [-114.06992306712787, 51.05864707653034]}",LAKER HOLDINGS
BP2011-15113,Completed,2011-11-29T00:00:00.000,2011-12-08T00:00:00.000,2012-05-25T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Two contacts put in place in elevator,TT PORTFOLIO INC..,0,4000,#300 411 1 ST SE,DNC,DOWNTOWN COMMERCIAL CORE,51.048893027633355,-114.06050534786473,4,Titled Parcel;Building;Building Suite;Building Suite,411 1 ST SE;411 1 ST SE;#300 411 1 ST SE;#100 411 1 ST SE,"MULTIPOINT (-114.06050534786473 51.048893027633355,-114.06114604676316 51.04885827254724,-114.06114604676316 51.04885827254724,-114.06114604676316 51.04885827254724)","{""type"":""MultiPoint"",""coordinates"":[[-114.0605053,51.048893],[-114.061146,51.0488583],[-114.061146,51.0488583],[-114.061146,51.0488583]]}","{'type': 'Point', 'coordinates': [-114.06050534786473, 51.048893027633355]}",
BP2020-15443,Completed,2020-10-22T00:00:00.000,2020-11-25T00:00:00.000,2023-11-14T00:00:00.000,Commercial / Multi Family Project,Building,3503 - Auditorium,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alteration - Calgary Public Building Elevator Modernization,LEMAY ARCHITECTURE & DESIGN,0,1141940,205 8 AV SE,DNC,DOWNTOWN COMMERCIAL CORE,51.045339637173576,-114.06005553882916,3,Titled Parcel;Building;Entryway,201 8 AV SE;201 8 AV SE;205 8 AV SE,"MULTIPOINT (-114.06005553882916 51.045339637173576,-114.06007049547875 51.04518299237534,-114.06007049547875 51.04518299237534)","{""type"":""MultiPoint"",""coordinates"":[[-114.0600555,51.0453396],[-114.0600705,51.045183],[-114.0600705,51.045183]]}","{'type': 'Point', 'coordinates': [-114.06005553882916, 51.045339637173576]}",
BP2020-18049,Completed,2020-12-10T00:00:00.000,2021-02-01T00:00:00.000,2024-04-04T00:00:00.000,Commercial / Multi Family Project,Building,5303 - Special Care Facility,Institutional,Non-Residential,Alteration,Improvement,Existing,Elevator Upgrade (Sarcee Carewest).,,0,400000,3504 SARCEE RD SW,RUT,RUTLAND PARK,51.023010550775,-114.12845069620394,2,Titled Parcel;Building,3504 SARCEE RD SW;3504 SARCEE RD SW,"MULTIPOINT (-114.12845069620394 51.023010550775,-114.12701548483783 51.02213136460245)","{""type"":""MultiPoint"",""coordinates"":[[-114.1284507,51.0230106],[-114.1270155,51.0221314]]}","{'type': 'Point', 'coordinates': [-114.12845069620394, 51.023010550775]}",CHANDOS CONSTRUCTION
BP2021-00639,Completed,2021-01-13T00:00:00.000,2021-01-28T00:00:00.000,2021-06-25T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,"Elevator lobby and public washroom renovations, 5th floor - The District at Beltline",KASIAN ARCHITECTURE INTERIOR DESIGN AND PLANNING,0,290000,#500 227 11 AV SW,BLN,BELTLINE,51.042349247015316,-114.06736091073094,3,Titled Parcel;Building;Building Suite,227 11 AV SW;227 11 AV SW;#500 227 11 AV SW,"MULTIPOINT (-114.06736091073094 51.042349247015316,-114.06778115895052 51.04208182004365,-114.06778115895052 51.04208182004365)","{""type"":""MultiPoint"",""coordinates"":[[-114.0673609,51.0423492],[-114.0677812,51.0420818],[-114.0677812,51.0420818]]}","{'type': 'Point', 'coordinates': [-114.06736091073094, 51.042349247015316]}",CANA CONSTRUCTION
BP2013-08177,Completed,2013-06-07T00:00:00.000,2013-07-30T00:00:00.000,2015-01-27T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,New Elevator addition,ABUGOV KASPAR,0,1511400,1011 9 AV SE,ING,INGLEWOOD,51.04254856953358,-114.03870916576227,2,Titled Parcel;Building,1011 9 AV SE;1011 9 AV SE,"MULTIPOINT (-114.03870916576227 51.04254856953358,-114.03876731486801 51.042339943413104)","{""type"":""MultiPoint"",""coordinates"":[[-114.0387092,51.0425486],[-114.0387673,51.0423399]]}","{'type': 'Point', 'coordinates': [-114.03870916576227, 51.04254856953358]}",CLARK BUILDERS
BP2015-11552,Completed,2015-09-03T00:00:00.000,2015-09-16T00:00:00.000,2015-11-18T00:00:00.000,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,Alteration,Improvement,Existing,Construction of a Barrier Free washroom,CHISHOLM INDUSTRIES,0,57700,4255 40 ST NW,VAR,VARSITY,51.09117846030896,-114.14683394780268,2,Titled Parcel;Building,4255 40 ST NW;4255 40 ST NW,"MULTIPOINT (-114.14683394780268 51.09117846030896,-114.14821824728462 51.09101439620872)","{""type"":""MultiPoint"",""coordinates"":[[-114.1468339,51.0911785],[-114.1482182,51.0910144]]}","{'type': 'Point', 'coordinates': [-114.14683394780268, 51.09117846030896]}",CHISHOLM INDUSTRIES
BP2019-05852,Completed,2019-05-16T00:00:00.000,2019-06-03T00:00:00.000,2020-01-06T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alterations - 24th Floor Elevator Lobby Renovation,KASIAN ARCHITECTURE INTERIOR DESIGN AND PLANNING,0,120000,#2400 240 4 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.0495885205534,-114.06713550131697,3,Titled Parcel;Building;Building Suite,240 4 AV SW;240 4 AV SW;#2400 240 4 AV SW,"MULTIPOINT (-114.06713550131697 51.0495885205534,-114.06708211375054 51.04996061800747,-114.06708211375054 51.04996061800747)","{""type"":""MultiPoint"",""coordinates"":[[-114.0671355,51.0495885],[-114.0670821,51.0499606],[-114.0670821,51.0499606]]}","{'type': 'Point', 'coordinates': [-114.06713550131697, 51.0495885205534]}",
BP2011-06634,Completed,2011-06-08T00:00:00.000,2011-06-27T00:00:00.000,2012-05-18T00:00:00.000,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,Alteration,Improvement,Existing,"Interior alterations, Ext Wheelchair ramp",CALGARY BOARD OF EDUCATION,0,210000,939 45 ST SW,WGT,WESTGATE,51.0441700102568,-114.152846281639,2,Titled Parcel;Building,939 45 ST SW;939 45 ST SW,"MULTIPOINT (-114.152846281639 51.0441700102568,-114.15342310675594 51.04403725813497)","{""type"":""MultiPoint"",""coordinates"":[[-114.1528463,51.04417],[-114.1534231,51.0440373]]}","{'type': 'Point', 'coordinates': [-114.152846281639, 51.0441700102568]}",
BP2016-06262,Completed,2016-06-07T00:00:00.000,2016-06-20T00:00:00.000,2016-08-15T00:00:00.000,Commercial / Multi Family Project,Building,4002 - Vacant,General,Non-Residential,Alteration,Improvement,Existing,renovation at main floor and lower level elevator lobbies,POP DESIGN GROUP,0,95000,1550 5 ST SW,BLN,BELTLINE,51.038092516259084,-114.07414452267129,2,Titled Parcel;Building,1550 5 ST SW;1550 5 ST SW,"MULTIPOINT (-114.07414452267129 51.038092516259084,-114.07400019473297 51.03815362112986)","{""type"":""MultiPoint"",""coordinates"":[[-114.0741445,51.0380925],[-114.0740002,51.0381536]]}","{'type': 'Point', 'coordinates': [-114.07414452267129, 51.038092516259084]}",
BP2005-03085,Completed,2005-03-16T00:00:00.000,2005-04-14T00:00:00.000,2008-02-08T00:00:00.000,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Additon of Truck Ramp & Enlarge overhead door,WILLIAM R KUMLIN ARCHITECT,0,30000,7151 44 ST SE,FHI,FOOTHILLS,50.991685016900895,-113.9702810279642,2,Titled Parcel;Building,7139 44 ST SE;7151 44 ST SE,"MULTIPOINT (-113.9702810279642 50.991685016900895,-113.9717320225 50.991463166724124)","{""type"":""MultiPoint"",""coordinates"":[[-113.970281,50.991685],[-113.971732,50.9914632]]}","{'type': 'Point', 'coordinates': [-113.9702810279642, 50.991685016900895]}",
BP2015-12940,Completed,2015-10-02T00:00:00.000,2015-11-04T00:00:00.000,2016-08-15T00:00:00.000,Commercial / Multi Family Project,Building,2308 - Terminal-Air,Industrial,Non-Residential,Alteration,Improvement,Existing,Interior Alteration - IFP Swissport Ramp M Office Arrivals,DMD RETAIL DESIGN,0,398970,#1001AX 2016A AIRPORT RD NE,CIA,CALGARY INTERNATIONAL AIRPORT,51.13440933289924,-114.00193422649242,4,Titled Parcel;Building;Building Suite;Entryway,8925 BARLOW TR NE;2016 AIRPORT RD NE;#1001AX 2016A AIRPORT RD NE;2016A AIRPORT RD NE,"MULTIPOINT (-114.00193422649242 51.13440933289924,-114.00468148150777 51.130448420589616,-114.00401965241208 51.129158581227315,-114.00457632539258 51.130988951425365)","{""type"":""MultiPoint"",""coordinates"":[[-114.0019342,51.1344093],[-114.0046815,51.1304484],[-114.0040197,51.1291586],[-114.0045763,51.130989]]}","{'type': 'Point', 'coordinates': [-114.00193422649242, 51.13440933289924]}",
BP2020-15083,Completed,2020-10-15T00:00:00.000,2020-11-04T00:00:00.000,2021-06-23T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Intrior Alterations Elevator Lobby & Corridor 4th Floor,CHOICE SPECIALTY SERVICES,0,90000,#400 2535 3 AV SE,MER,MERIDIAN,51.047281545529344,-114.00066488117915,3,Titled Parcel;Building;Building Suite,2535 3 AV SE;2535 3 AV SE;#400 2535 3 AV SE,"MULTIPOINT (-114.00066488117915 51.047281545529344,-114.00048135932151 51.04669895801602,-114.00049750301228 51.046696863341325)","{""type"":""MultiPoint"",""coordinates"":[[-114.0006649,51.0472815],[-114.0004814,51.046699],[-114.0004975,51.0466969]]}","{'type': 'Point', 'coordinates': [-114.00066488117915, 51.047281545529344]}",CHOICE SPECIALTY SERVICES
BP2021-04093,Completed,2021-03-18T00:00:00.000,2021-04-20T00:00:00.000,2021-04-30T00:00:00.000,Commercial / Multi Family Project,Building,4002 - Vacant,General,Non-Residential,Alteration,Improvement,Existing,New Barrier-free washroom,BOSS COMPLETE RENOVATIONS,0,6800,454 14 ST NW,HIL,HILLHURST,51.05683092040408,-114.09445770274442,3,Titled Parcel;Building;Entryway,460 14 ST NW;460 14 ST NW;454 14 ST NW,"MULTIPOINT (-114.09445770274442 51.05683092040408,-114.09428965847424 51.05660813806486,-114.09428965847424 51.05660813806486)","{""type"":""MultiPoint"",""coordinates"":[[-114.0944577,51.0568309],[-114.0942897,51.0566081],[-114.0942897,51.0566081]]}","{'type': 'Point', 'coordinates': [-114.09445770274442, 51.05683092040408]}",BOSS COMPLETE RENOVATIONS
BP2016-01954,Completed,2016-03-07T00:00:00.000,2016-03-18T00:00:00.000,2016-12-13T00:00:00.000,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,Alteration,Improvement,Existing,EXTEIOR ALTERATIONS - ACCESS DOOR AND RAMPS,ECS SIMPSON ENGINEERS,0,80000,7552 10 ST NE,DBC,DEERFOOT BUSINESS CENTRE,51.119309618473956,-114.04022814317787,2,Titled Parcel;Building,7552 10 ST NE;7552 10 ST NE,"MULTIPOINT (-114.04022814317787 51.119309618473956,-114.03940658283737 51.11959774576273)","{""type"":""MultiPoint"",""coordinates"":[[-114.0402281,51.1193096],[-114.0394066,51.1195977]]}","{'type': 'Point', 'coordinates': [-114.04022814317787, 51.119309618473956]}",
BP2015-03368,Completed,2015-03-31T00:00:00.000,2015-05-05T00:00:00.000,2015-06-24T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,New barrier free washroom,CALGARY BUILDING SYSTEMS,0,10000,#168 8060 SILVER SPRINGS BV NW,SIL,SILVER SPRINGS,51.11573032069107,-114.20520943687949,3,Titled Parcel;Building;Building Suite,8060 SILVER SPRINGS BV NW;#100 8060 SILVER SPRINGS BV NW;#168 8060 SILVER SPRINGS BV NW,"MULTIPOINT (-114.20520943687949 51.11573032069107,-114.2042135418418 51.116396514916204,-114.20434347925212 51.11652131577046)","{""type"":""MultiPoint"",""coordinates"":[[-114.2052094,51.1157303],[-114.2042135,51.1163965],[-114.2043435,51.1165213]]}","{'type': 'Point', 'coordinates': [-114.20520943687949, 51.11573032069107]}",CALGARY BUILDING SYSTEMS
BP2000-08185,Cancelled,2000-07-26T00:00:00.000,,2001-08-23T00:00:00.000,Commercial / Multi Family Project,Building,3203 - Warehouse,Commercial,Non-Residential,Alteration,Improvement,Existing,Exterior Alteration - Ramp,EVEREST CONSTRUCTION,0,,3202 12 AV NE,FRA,FRANKLIN,51.062779175234134,-113.98772500149067,1,Titled Parcel,3202 12 AV NE,POINT (-113.98772500149067 51.062779175234134),"{""type"":""Point"",""coordinates"":[-113.987725,51.0627792]}","{'type': 'Point', 'coordinates': [-113.98772500149067, 51.062779175234134]}",EVEREST CONSTRUCTION
BP2022-00863,Completed,2022-01-19T00:00:00.000,2022-03-05T00:00:00.000,2022-05-26T00:00:00.000,Commercial / Multi Family Project,Building,5202 - Clinic,Institutional,Non-Residential,Alteration,Improvement,Existing,One Physiotherapy and Mobility Clinic - Tenant Improvement,ONE PHYSIO PHYSIOTHERAPY AND MOBILITY CLINIC,0,70000,#105 160 96 AV NE,HAR,HARVEST HILLS,51.14184739018853,-114.06635646766222,3,Titled Parcel;Building;Building Suite,178 96 AV NE;160 96 AV NE;#105 160 96 AV NE,"MULTIPOINT (-114.06635646766222 51.14184739018853,-114.06666906946327 51.14219217872005,-114.06676332947 51.14211220755625)","{""type"":""MultiPoint"",""coordinates"":[[-114.0663565,51.1418474],[-114.0666691,51.1421922],[-114.0667633,51.1421122]]}","{'type': 'Point', 'coordinates': [-114.06635646766222, 51.14184739018853]}",
BP2019-12618,Completed,2019-09-16T00:00:00.000,2019-09-25T00:00:00.000,2020-01-21T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Elevator lobby and washroom alterations - WMT 14th floor,,0,180314,#1400 530 8 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.045959768204014,-114.07294617928993,3,Titled Parcel;Building;Building Suite,530 8 AV SW;530 8 AV SW;#1400 530 8 AV SW,"MULTIPOINT (-114.07294617928993 51.045959768204014,-114.07294882062489 51.04614330093464,-114.07294882062489 51.04614330093464)","{""type"":""MultiPoint"",""coordinates"":[[-114.0729462,51.0459598],[-114.0729488,51.0461433],[-114.0729488,51.0461433]]}","{'type': 'Point', 'coordinates': [-114.07294617928993, 51.045959768204014]}",SOUNDTEX INTERIORS
BP2015-01703,Completed,2015-02-18T00:00:00.000,2015-03-05T00:00:00.000,2015-05-04T00:00:00.000,Commercial / Multi Family Project,Building,4002 - Vacant,General,Non-Residential,Alteration,Improvement,Existing,Add 2 offices and barrier free washroom. (leasehold),KN ARCHITECTURE,0,20000,#6 4451 58 AV SE,FHI,FOOTHILLS,51.00076022613723,-113.97091498440746,3,Titled Parcel;Building;Building Suite,4451 58 AV SE;4451 58 AV SE;#6 4451 58 AV SE,"MULTIPOINT (-113.97091498440746 51.00076022613723,-113.97064459787941 51.000383126237786,-113.97064459787941 51.000383126237786)","{""type"":""MultiPoint"",""coordinates"":[[-113.970915,51.0007602],[-113.9706446,51.0003831],[-113.9706446,51.0003831]]}","{'type': 'Point', 'coordinates': [-113.97091498440746, 51.00076022613723]}",
BP2016-12356,Completed,2016-10-14T00:00:00.000,2017-03-20T00:00:00.000,2017-10-26T00:00:00.000,Commercial / Multi Family Project,Building,5299 - Medical Misc.,Institutional,Non-Residential,Alteration,Improvement,Existing,Holy Cross Care Centre - Temporary Hoist Elevator,CYNC ARCHITECTURE,0,400000,2206 2 ST SW,MIS,MISSION,51.03238781690439,-114.06872099961814,2,Titled Parcel;Building,2210 2 ST SW;2206 2 ST SW,"MULTIPOINT (-114.06872099961814 51.03238781690439,-114.06753573012963 51.032849835016016)","{""type"":""MultiPoint"",""coordinates"":[[-114.068721,51.0323878],[-114.0675357,51.0328498]]}","{'type': 'Point', 'coordinates': [-114.06872099961814, 51.03238781690439]}",
BP2022-15325,Pending Plans Review,2022-09-07T00:00:00.000,,,Commercial / Multi Family Project,Building,2306 - Parking Garage,Industrial,Non-Residential,Repair,Improvement,Existing,Red Cross Parkade Ramp De-Icing System Renewal,AG CREATIONS,0,222000,710 14 AV SW,BLN,BELTLINE,51.04003931083848,-114.07730382999131,1,Titled Parcel,710 14 AV SW,POINT (-114.07730382999131 51.04003931083848),"{""type"":""Point"",""coordinates"":[-114.0773038,51.0400393]}","{'type': 'Point', 'coordinates': [-114.07730382999131, 51.04003931083848]}",AG CREATIONS
BP2018-06594,Completed,2018-05-30T00:00:00.000,2018-06-01T00:00:00.000,2018-09-13T00:00:00.000,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,Repair,Improvement,Existing,Exterior stair refurbish with new guard/handrails.,NYHOFF ARCHITECTURE,0,15000,509 32 AV NE,WIN,WINSTON HEIGHTS/MOUNTVIEW,51.081386486896974,-114.05322388584653,2,Titled Parcel;Building,509 32 AV NE;509 32 AV NE,"MULTIPOINT (-114.05322388584653 51.081386486896974,-114.05206912632684 51.08060530946863)","{""type"":""MultiPoint"",""coordinates"":[[-114.0532239,51.0813865],[-114.0520691,51.0806053]]}","{'type': 'Point', 'coordinates': [-114.05322388584653, 51.081386486896974]}",
BP2022-10794,Completed,2022-06-21T00:00:00.000,2022-07-07T00:00:00.000,2022-07-21T00:00:00.000,Commercial / Multi Family Project,Building,5302 - Senior Citizen Homes,Institutional,Non-Residential,Fire/ Security Alarm,Unspecified,,Existing Elevator and F/A upgrades,HIGH LINE ELECTRICAL CONSTRUCTORS,0,4000,2736 19 AV SE,SOV,SOUTHVIEW,51.03620919278295,-113.99384216480848,2,Titled Parcel;Building,2736 19 AV SE;2736 19 AV SE,"MULTIPOINT (-113.99384216480848 51.03620919278295,-113.99365265553034 51.03667099487994)","{""type"":""MultiPoint"",""coordinates"":[[-113.9938422,51.0362092],[-113.9936527,51.036671]]}","{'type': 'Point', 'coordinates': [-113.99384216480848, 51.03620919278295]}",
