point,permitnum,address,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabhearingdate,sdabnumber,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-113.91207319135576, 51.092910719084]}",DP2021-5284,4607 84 ST NE,Temporary Structure,"TEMPORARY USE: VEHICLE STORAGE - RECREATIONAL, VEHICLE STORAGE - PASSENGER (STORAGE SHEDS & VEHICLE RAMPS (5 YEARS))",C2970; C2980,VEHICLE STORAGE - PASSENGER; VEHICLE STORAGE - RECREATIONAL,Discretionary,S-FUD,Special Purpose - Future Urban Development,Lapsed,2021-07-21T00:00:00.000,2021-10-14T00:00:00.000,,2023-10-14T00:00:00.000,Approval,Development Authority,10E,RESIDUAL WARD 10 - SUB AREA 10E,10,NE,51.093,-113.912,1,Titled Parcel,4607 84 ST NE,"{""type"":""Point"",""coordinates"":[-113.9120732,51.0929107]}",POINT (-113.91207319135576 51.092910719084),2023-10-16T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.98873632057621, 51.0652297353223]}",DP2024-02713,#7 3140 14 AV NE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2024-04-18T00:00:00.000,2024-06-27T00:00:00.000,2024-06-27T00:00:00.000,2026-06-27T00:00:00.000,Approval,Development Authority,FRA,FRANKLIN,10,NE,51.065,-113.989,3,Titled Parcel;Building;Building Suite,3140 14 AV NE;3140 14 AV NE;#7 3140 14 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9887363,51.0652297],[-113.9890194,51.0658178],[-113.9890194,51.0658178]]}","MULTIPOINT ((-113.98873632057621 51.0652297353223),(-113.98901943696444 51.06581776960655),(-113.98901943696444 51.06581776960655))",,,,,
"{'type': 'Point', 'coordinates': [-114.06511918413602, 51.01085063314362]}",DP2021-3958,4702 1 ST SW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: MULTI-USE INDUSTRIAL (PARKING & RAMP), EXTERIOR RENOVATIONS: MULTI-USE INDUSTRIAL (REFURBISH BUILDING FA�ADE & NEW WINDOWS), NEW: SIGN - CLASS B (FASCIA SIGN)",C1572,EXTERIOR RENOVATIONS,Discretionary,I-R,Industrial - Redevelopment,Lapsed,2021-06-01T00:00:00.000,2021-09-20T00:00:00.000,,2023-09-20T00:00:00.000,Approval,Development Authority,MAN,MANCHESTER,9,SW,51.011,-114.065,2,Titled Parcel;Building,4702 1 ST SW;4702 1 ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0651192,51.0108506],[-114.0648893,51.0108033]]}","MULTIPOINT ((-114.06511918413602 51.01085063314362),(-114.06488930447347 51.01080325899478))",2023-10-16T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.98617553556583, 51.053447680786874]}",DP2023-01787,#100 229 33 ST NE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (NEW STAIRS AND RAMP ACCESS),C1685,GENERAL INDUSTRIAL - LIGHT,Permitted with a Relaxation,I-G,Industrial - General,In Advertising,2023-03-23T00:00:00.000,2023-08-10T00:00:00.000,,2025-08-10T00:00:00.000,Approval,Development Authority,FRA,FRANKLIN,10,NE,51.053,-113.986,3,Titled Parcel;Building;Building Suite,229 33 ST NE;229 33 ST NE;#100 229 33 ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9861755,51.0534477],[-113.9877214,51.0526596],[-113.9877214,51.0526596]]}","MULTIPOINT ((-113.98617553556583 51.053447680786874),(-113.98772142965149 51.05265957180386),(-113.98772142965149 51.05265957180386))",,,,,
"{'type': 'Point', 'coordinates': [-114.08550428948574, 51.047266777366175]}",DP2013-2291,1040 7 AV SW,Renovations - Non-Residential,"REVISION: EXTERIOR RENOVATIONS (WHEEL CHAIR LIFT, REPLACE DOOR & STAIRS)",B5027,EXTERIOR RENOVATIONS,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,2013-05-31T00:00:00.000,2013-07-11T00:00:00.000,2013-08-06T00:00:00.000,2016-07-11T00:00:00.000,Approval,Development Authority,DNW,DOWNTOWN WEST END,8,SW,51.04726677736617,-114.08550428948574,2,Titled Parcel;Building,1040 7 AV SW;1040 7 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0855043,51.0472668],[-114.0855073,51.0473998]]}","MULTIPOINT (-114.08550428948574 51.04726677736617,-114.08550732962966 51.04739979619328)",,,,,
"{'type': 'Point', 'coordinates': [-114.03160323045185, 51.044058950858194]}",DP2014-3175,1300 ZOO RD NE,Commercial - Other Areas,NEW: UTILITY BUILDING (LIFT STATION),C2910,UTILITY BUILDING,Discretionary,S-FUD,Special Purpose - Future Urban Development,Cancelled,2014-07-07T00:00:00.000,,,,,,BRD,BRIDGELAND/RIVERSIDE,9,NE,51.044058950858194,-114.03160323045185,1,Titled Parcel,1300 ZOO RD NE,"{""type"":""Point"",""coordinates"":[-114.0316032,51.044059]}",POINT (-114.03160323045185 51.044058950858194),2014-09-10T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.96155014073419, 51.00534130075888]}",DP2012-0251,5353 50 ST SE,Renovations - Non-Residential,"REVISION: EXTERIOR RENOVATIONS (DUST SILOS, EXTERIOR DOORS, RAMP & BRIDGE CONNECTION TO ADJACENT WAREHOUSE)",C1572; C1685,EXTERIOR RENOVATIONS; GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2012-01-23T00:00:00.000,2012-03-07T00:00:00.000,2012-03-08T00:00:00.000,2014-03-07T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,51.00534130075888,-113.96155014073418,2,Titled Parcel;Building,5353 50 ST SE;5353 50 ST SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9615501,51.0053413],[-113.9646654,51.0060014]]}","MULTIPOINT (-113.96155014073418 51.00534130075888,-113.96466539746086 51.00600144301661)",,,,,
"{'type': 'Point', 'coordinates': [-113.9690810642865, 51.01312660723343]}",DP2012-0764,4447 46 AV SE,Renovations - Non-Residential,"REVISION: EXTERIOR RENOVATIONS (LOADING RAMP, ENLARGE DOOR)",C1572,EXTERIOR RENOVATIONS,Discretionary,I-G,Industrial - General,Released,2012-02-28T00:00:00.000,2012-03-13T00:00:00.000,2012-04-11T00:00:00.000,2014-03-13T00:00:00.000,Approval,Development Authority,EFI,EASTFIELD,9,SE,51.01312660723343,-113.9690810642865,2,Titled Parcel;Building,4447 46 AV SE;4447 46 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9690811,51.0131266],[-113.9685324,51.0126111]]}","MULTIPOINT (-113.9690810642865 51.01312660723343,-113.96853239595981 51.0126111394583)",,,,,
"{'type': 'Point', 'coordinates': [-114.0049544372257, 51.09093594240311]}",DP1989-0722,4280 23 ST NE,,CONVERTED JOB - PROPOSED LOADING DOCK AND RAMP ADDITION,B6610,"MOVEMENT OR STORAGE OF MATERIALS, GOODS, OR PRODUCTS",Discretionary,DC,DIRECT CONTROL DISTRICT,Released,1989-04-10T00:00:00.000,1989-04-20T00:00:00.000,,,Approval,Development Authority,NAW,NORTH AIRWAYS,10,NE,51.09093594240311,-114.0049544372257,1,Titled Parcel,4280 23 ST NE,"{""type"":""Point"",""coordinates"":[-114.0049544,51.0909359]}",POINT (-114.0049544372257 51.09093594240311),1989-06-06T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.06992306712787, 51.05864707653035]}",DP2012-0318,720 3 ST NW,Commercial - Other Areas,ADDITION: INDOOR RECREATION FACILITY (ELEVATOR),C1770,INDOOR RECREATION FACILITY,Discretionary,S-R,Special Purpose - Recreation,Released,2012-01-30T00:00:00.000,2012-04-27T00:00:00.000,2012-05-23T00:00:00.000,2014-04-27T00:00:00.000,Approval,Development Authority,SSD,SUNNYSIDE,7,NW,51.05864707653034,-114.06992306712787,2,Titled Parcel;Building,720 3 ST NW;720 3 ST NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0699231,51.0586471],[-114.0693676,51.0582805]]}","MULTIPOINT (-114.06992306712787 51.05864707653034,-114.0693675861597 51.05828052830766)",,,,,
"{'type': 'Point', 'coordinates': [-113.9743487144536, 50.98520859051824]}",DP2005-4182,4220 76 AV SE,Signs - Permitted Use,FOUR FASCIA SIGNS [ARPAC FORKLIFT],B8160,SIGNS - CLASS 1,Permitted,I-2,GENERAL LIGHT INDUSTRIAL DISTRICT,Released,2005-12-27T00:00:00.000,2006-01-02T00:00:00.000,2006-01-03T00:00:00.000,2007-01-02T00:00:00.000,Approval,Development Authority,FHI,FOOTHILLS,9,SE,50.98520859051824,-113.9743487144536,1,Titled Parcel,4220 76 AV SE,"{""type"":""Point"",""coordinates"":[-113.9743487,50.9852086]}",POINT (-113.9743487144536 50.98520859051824),,,,,
"{'type': 'Point', 'coordinates': [-114.04442355415377, 51.11382483483413]}",DP2011-4141,6759 9 ST NE,Renovations - Non-Residential,"REVISION: EXTERIOR RENOVATIONS (NEW RAMP, DOORS, LOADING DOCK)",C1572,EXTERIOR RENOVATIONS,Discretionary,I-G,Industrial - General,Released,2011-10-25T00:00:00.000,2012-02-02T00:00:00.000,2012-03-02T00:00:00.000,2014-02-02T00:00:00.000,Approval,Development Authority,DBC,DEERFOOT BUSINESS CENTRE,5,NE,51.11382483483413,-114.04442355415377,2,Titled Parcel;Entryway,6732 8 ST NE;6759 9 ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0444236,51.1138248],[-114.0428943,51.1143388]]}","MULTIPOINT (-114.04442355415377 51.11382483483413,-114.04289429740466 51.114338758380924)",,,,,
"{'type': 'Point', 'coordinates': [-114.08704855308342, 50.9737096983276]}",DP2017-0412,1204 89 AV SW,Commercial - Other Areas,"ADDITION: COMMUNITY RECREATION FACILITY (SHED), EXTERIOR RENOVATIONS (REFURBISH BUILDING FACADE, ENTRANCE), CHANGES TO SITE PLAN (ACCESSIBLE ENTRANCE, LANDSCAPING)",C1350,COMMUNITY RECREATION FACILITY,Discretionary,S-CS,Special Purpose - Community Service,Released,2017-02-02T00:00:00.000,2017-04-25T00:00:00.000,2017-05-19T00:00:00.000,2019-04-25T00:00:00.000,Approval,Development Authority,HAY,HAYSBORO,11,SW,50.9737096983276,-114.08704855308342,2,Titled Parcel;Building,1204 89 AV SW;1204 89 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0870486,50.9737097],[-114.0877835,50.9747434]]}","MULTIPOINT (-114.08704855308342 50.9737096983276,-114.08778350449744 50.974743384987896)",,,,,
"{'type': 'Point', 'coordinates': [-114.08550428948574, 51.047266777366175]}",DP2013-1257,1040 7 AV SW,Renovations - Non-Residential,REVISION: CHANGES TO SITE PLAN (WHEELCHAIR RAMP),B5027,EXTERIOR RENOVATIONS,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,2013-03-27T00:00:00.000,2013-04-29T00:00:00.000,2013-05-24T00:00:00.000,2015-04-29T00:00:00.000,Approval,Development Authority,DNW,DOWNTOWN WEST END,8,SW,51.04726677736617,-114.08550428948574,2,Titled Parcel;Building,1040 7 AV SW;1040 7 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0855043,51.0472668],[-114.0855073,51.0473998]]}","MULTIPOINT (-114.08550428948574 51.04726677736617,-114.08550732962966 51.04739979619328)",,,,,
"{'type': 'Point', 'coordinates': [-113.95117969491065, 50.97583402462008]}",DP2017-1355,6075 86 AV SE,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (MAN DOOR, BARRIER FREE RAMP, STAIRS)",C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Released,2017-04-07T00:00:00.000,2017-05-04T00:00:00.000,2017-05-29T00:00:00.000,2019-05-04T00:00:00.000,Approval,Development Authority,S23,SECTION 23,12,SE,50.97583402462008,-113.95117969491064,1,Titled Parcel,6075 86 AV SE,"{""type"":""Point"",""coordinates"":[-113.9511797,50.975834]}",POINT (-113.95117969491064 50.97583402462008),,,,,
"{'type': 'Point', 'coordinates': [-114.0716903716912, 51.03552046270343]}",DP2014-3033,1915 4 ST SW,Renovations - Non-Residential,"CHANGE OF USE: FINANCIAL INSTITUTION; EXTERIOR RENOVATIONS: FINANCIAL INSTITUTION (WINDOWS, DOORS AND RAMP), SIGN - CLASS B & D (FASCIA SIGNS - 2, CANOPY SIGN)",C1590; C2680; C2700,FINANCIAL INSTITUTION; SIGN - CLASS B; SIGN - CLASS D,Discretionary,C-COR1 f3.0h16,Commercial - Corridor 1,Released,2014-06-26T00:00:00.000,2014-08-21T00:00:00.000,2014-09-15T00:00:00.000,2016-08-21T00:00:00.000,Approval,Development Authority,CLI,CLIFF BUNGALOW,8,SW,51.03552046270343,-114.0716903716912,1,Titled Parcel,1915 4 ST SW,"{""type"":""Point"",""coordinates"":[-114.0716904,51.0355205]}",POINT (-114.0716903716912 51.03552046270343),,,,,
"{'type': 'Point', 'coordinates': [-114.11994239708775, 51.052605338853006]}",DP2012-5286,2540 KENSINGTON RD NW,Renovations - Non-Residential,"REVISION: EXTERIOR RENOVATIONS (NEW ELEVATOR SHAFT, RECONFIGURED EXTERIOR STAIRWAY, NEW RAMP)",C1572,EXTERIOR RENOVATIONS,Discretionary,C-COR2 f3.0h46,Commercial - Corridor 2,Released,2012-12-14T00:00:00.000,2013-03-21T00:00:00.000,2013-04-23T00:00:00.000,2015-03-21T00:00:00.000,Approval,Development Authority,WHL,WEST HILLHURST,7,NW,51.052605338853006,-114.11994239708775,2,Titled Parcel;Building,2540 KENSINGTON RD NW;2540 KENSINGTON RD NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1199424,51.0526053],[-114.1199249,51.0526983]]}","MULTIPOINT (-114.11994239708775 51.052605338853006,-114.11992489404243 51.05269833753708)",,,,,
"{'type': 'Point', 'coordinates': [-114.09451860200527, 51.05414272046371]}",DP1999-1401,326 14 ST NW,,CONVERTED JOB - INCREASE SEATING AND ADDITION OF WHEELCHAIR RAMP (50 SEATS MAXIMUM),B7840,RESTAURANT,Discretionary,DC,DIRECT CONTROL DISTRICT,Cancelled,1999-05-04T00:00:00.000,1999-05-27T00:00:00.000,,,Approval,Development Authority,HIL,HILLHURST,7,NW,51.05414272046371,-114.09451860200527,1,Titled Parcel,326 14 ST NW,"{""type"":""Point"",""coordinates"":[-114.0945186,51.0541427]}",POINT (-114.09451860200527 51.05414272046371),1999-05-17T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.0592365264218, 51.00121517609304]}",DP2016-0160,303 58 AV SE,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT, SPECIALTY FOOD STORE (GARBAGE ENCLOSURE & ACCESS RAMP); EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (REFURBISH BUILDING FACADE, RECONFIGURE ENTRANCE & 2 NEW OVERHEAD DOORS)",C1685; C2780,GENERAL INDUSTRIAL - LIGHT; SPECIALTY FOOD STORE,Discretionary,I-G,Industrial - General,Released,2016-01-18T00:00:00.000,2016-03-17T00:00:00.000,2016-04-12T00:00:00.000,2018-03-17T00:00:00.000,Approval,Development Authority,MNI,MANCHESTER INDUSTRIAL,9,SE,51.00121517609304,-114.0592365264218,2,Titled Parcel;Building,303 58 AV SE;303 58 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0592365,51.0012152],[-114.0593436,51.0001476]]}","MULTIPOINT (-114.0592365264218 51.00121517609304,-114.05934361486727 51.00014760072111)",,,,,
"{'type': 'Point', 'coordinates': [-113.98146801089958, 51.110513489511256]}",DP2015-3878,#155 6424 36 ST NE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: WAREHOUSE AND OFFICE (NEW LOADING BAY RAMPS),C9999,OTHER,Discretionary,I-B f0.5,Industrial - Business,Cancelled,2015-09-15T00:00:00.000,,,,,,WES,WESTWINDS,5,NE,51.110513489511256,-113.98146801089958,3,Titled Parcel;Building;Building Suite,6424 36 ST NE;6424 36 ST NE;#155 6424 36 ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.981468,51.1105135],[-113.9806417,51.1101379],[-113.9802477,51.1101175]]}","MULTIPOINT (-113.98146801089958 51.110513489511256,-113.98064167719681 51.11013788568892,-113.98024773722146 51.110117485263345)",2015-09-29T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.08599985278194, 51.03771273987303]}",DP1989-0474,1029 17 AV SW,,CONVERTED JOB - RENOVATIONS TO LANDSCAPING AND HANDICAPPED RAMP,B6700,OFFICES,Discretionary,C-3(23),GENERAL COMMERICAL DISTRICT - HEIGHT MAXIMUM 23 METRES,Released,1989-03-14T00:00:00.000,1989-03-22T00:00:00.000,,,Approval,Development Authority,LMR,MOUNT ROYAL LOWER,8,SW,51.03771273987302,-114.08599985278194,1,Titled Parcel,1029 17 AV SW,"{""type"":""Point"",""coordinates"":[-114.0859999,51.0377127]}",POINT (-114.08599985278194 51.03771273987302),1989-04-17T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.95701722627058, 50.98525888583082]}",DP2012-1980,5498 76 AV SE,Renovations - Non-Residential,REVISION: EXTERIOR RENOVATIONS (NEW BAY DOORS AND LOADING RAMPS),C1572,EXTERIOR RENOVATIONS,Permitted,I-G,Industrial - General,Released,2012-05-15T00:00:00.000,2012-06-11T00:00:00.000,2012-06-12T00:00:00.000,2014-06-11T00:00:00.000,Approval,Development Authority,GPI,GREAT PLAINS,9,SE,50.98525888583082,-113.95701722627058,1,Titled Parcel,5498 76 AV SE,"{""type"":""Point"",""coordinates"":[-113.9570172,50.9852589]}",POINT (-113.95701722627058 50.98525888583082),,,,,
"{'type': 'Point', 'coordinates': [-114.06573789921212, 51.03925084129763]}",DP1990-0977,1410 1 ST SW,,"CONVERTED JOB - EXTERIOR RAMP INSTALLATION,EXTERIOR RENOVATIONS AND SIGNAGE TO EXISTING BUILDING",B6700,OFFICES,Discretionary,C-3,GENERAL COMMERCIAL DISTRICT - HEIGHT MAXIMUM 46 METRES,Lapsed,1990-04-03T00:00:00.000,1990-04-26T00:00:00.000,,1993-04-26T00:00:00.000,Approval,Development Authority,BLN,BELTLINE,11,SW,51.03925084129763,-114.06573789921212,1,Titled Parcel,1410 1 ST SW,"{""type"":""Point"",""coordinates"":[-114.0657379,51.0392508]}",POINT (-114.06573789921212 51.03925084129763),,,,,
"{'type': 'Point', 'coordinates': [-113.99364079974936, 51.05661751525083]}",DP2015-1178,2820 5 AV NE,Renovations - Non-Residential,CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (RAMP EXTENSION),C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2015-03-26T00:00:00.000,2015-04-28T00:00:00.000,2015-05-06T00:00:00.000,2017-04-28T00:00:00.000,Approval,Development Authority,MER,MERIDIAN,10,NE,51.05661751525083,-113.99364079974936,2,Titled Parcel;Building,2820 5 AV NE;2820 5 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9936408,51.0566175],[-113.9941531,51.0574988]]}","MULTIPOINT (-113.99364079974936 51.05661751525083,-113.99415309012879 51.05749881265038)",,,,,
"{'type': 'Point', 'coordinates': [-114.04442355415377, 51.11382483483413]}",DP2013-2379,6751 9 ST NE,Renovations - Non-Residential,"REVISION: EXTERIOR RENOVATIONS TO EXISTING GENERAL INDUSTRIAL - LIGHT - NEW RAMP (LOADING), ENLARGE EXISTING DOOR",C1572,EXTERIOR RENOVATIONS,Permitted,I-G,Industrial - General,Released,2013-06-07T00:00:00.000,2013-07-25T00:00:00.000,2013-07-25T00:00:00.000,2015-07-25T00:00:00.000,Approval,Development Authority,DBC,DEERFOOT BUSINESS CENTRE,5,NE,51.11382483483413,-114.04442355415377,3,Titled Parcel;Building;Entryway,6732 8 ST NE;6732 8 ST NE;6751 9 ST NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0444236,51.1138248],[-114.043302,51.113876],[-114.0428299,51.1141414]]}","MULTIPOINT (-114.04442355415377 51.11382483483413,-114.04330197424271 51.113875992974776,-114.04282987430764 51.114141369804905)",,,,,
"{'type': 'Point', 'coordinates': [-113.95216650007431, 50.992638595593014]}",DP2016-3719,#109 5555 69 AV SE,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW O/H DOOR, MAN DOOR, RAMP)",C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2016-09-09T00:00:00.000,2016-10-13T00:00:00.000,2016-10-17T00:00:00.000,2018-10-13T00:00:00.000,Approval,Development Authority,GPI,GREAT PLAINS,9,SE,50.992638595593014,-113.95216650007431,3,Titled Parcel;Building;Building Suite,5555 69 AV SE;5555 69 AV SE;#109 5555 69 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9521665,50.9926386],[-113.9526729,50.9918979],[-113.9526729,50.9918979]]}","MULTIPOINT (-113.95216650007431 50.992638595593014,-113.95267288171365 50.99189794218558,-113.95267288171365 50.99189794218558)",,,,,
"{'type': 'Point', 'coordinates': [-114.08043777876756, 51.028365316556815]}",DP2005-3347,636 29 AV SW,Renovations - Non-Residential,EXTERIOR RENOVATIONS TO PRIVATE CLUB (TO ACCOMODATE AN ELEVATOR),B7440,PRIVATE CLUB,Discretionary,DC,DIRECT CONTROL DISTRICT,Released,2005-10-07T00:00:00.000,2005-11-25T00:00:00.000,2005-12-27T00:00:00.000,2008-11-25T00:00:00.000,Approval,Development Authority,EPK,ELBOW PARK,11,SW,51.028365316556815,-114.08043777876755,1,Titled Parcel,636 29 AV SW,"{""type"":""Point"",""coordinates"":[-114.0804378,51.0283653]}",POINT (-114.08043777876755 51.028365316556815),,,,,
"{'type': 'Point', 'coordinates': [-114.06115096308098, 51.03994083079695]}",DP1998-1549,1313 1 ST SE,,CONVERTED JOB - ADDITION OF FREIGHT ELEVATOR TO EXISTING COMMERCIAL BUILDING,B2366,BUSINESS OR COMMERCIAL ESTABLISHMENT,Permitted,DC,DIRECT CONTROL DISTRICT,Released,1998-05-07T00:00:00.000,1998-06-30T00:00:00.000,,2001-06-30T00:00:00.000,Approval,Development Authority,BLN,BELTLINE,11,SE,51.039940830796944,-114.06115096308098,1,Titled Parcel,1313 1 ST SE,"{""type"":""Point"",""coordinates"":[-114.061151,51.0399408]}",POINT (-114.06115096308098 51.039940830796944),1998-07-28T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.06558550153837, 51.027191857730834]}",DP2016-2692,3010 ROXBORO GLEN RD SW,Industrial - Other Areas,NEW: UTILITIES (LIFT STATION REPLACEMENT AND DECOMMISSIONING),Z9999,EXISTING NON-CONFORMING,Discretionary,S-UN,Special Purpose - Urban Nature,Released,2016-06-30T00:00:00.000,2016-08-17T00:00:00.000,2016-10-20T00:00:00.000,2018-08-17T00:00:00.000,Approval,Development Authority,ROX,ROXBORO,11,SW,51.027191857730834,-114.06558550153837,1,Titled Parcel,3010 ROXBORO GLEN RD SW,"{""type"":""Point"",""coordinates"":[-114.0655855,51.0271919]}",POINT (-114.06558550153837 51.027191857730834),,,,,
"{'type': 'Point', 'coordinates': [-114.1091924297323, 51.02329533053214]}",DP2016-2515,2040 34 AV SW,Renovations - Non-Residential,CHANGES TO SITE PLAN: MEDICAL CLINIC (WHEELCHAIR RAMP),C1990,MEDICAL CLINIC,Discretionary,C-COR1 f3.0h23,Commercial - Corridor 1,Released,2016-06-22T00:00:00.000,2016-08-11T00:00:00.000,2016-09-07T00:00:00.000,2018-08-11T00:00:00.000,Approval,Development Authority,SOC,SOUTH CALGARY,8,SW,51.02329533053214,-114.1091924297323,2,Titled Parcel;Building,2040 34 AV SW;2040 34 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1091924,51.0232953],[-114.1091738,51.0233829]]}","MULTIPOINT (-114.1091924297323 51.02329533053214,-114.10917384856339 51.02338289925806)",,,,,
